iter	Logloss
0	0.6402078016
1	0.6039659621
2	0.567110401
3	0.5431330082
4	0.5287022503
5	0.5159378832
6	0.5014852824
7	0.4908177662
8	0.481886538
9	0.4748261185
10	0.4679469945
11	0.4626344708
12	0.4582794127
13	0.453063996
14	0.4497691898
15	0.4463432328
16	0.4439756865
17	0.4408408323
18	0.437189738
19	0.4347483317
20	0.432697382
21	0.4306010927
22	0.4275612236
23	0.425544848
24	0.4236269212
25	0.4191408996
26	0.4166613308
27	0.4153757232
28	0.4143443975
29	0.4134767684
30	0.4121946245
31	0.4112527297
32	0.4099607253
33	0.4079109925
34	0.4072123646
35	0.4062089042
36	0.4052689441
37	0.4042280388
38	0.4033908337
39	0.4028371487
40	0.4011007672
41	0.4006963313
42	0.4001188376
43	0.3992512397
44	0.3983494421
45	0.397685482
46	0.3946969748
47	0.3942527225
48	0.3932049835
49	0.3922768809
50	0.3916291469
51	0.3907084085
52	0.3898535106
53	0.3891002132
54	0.3885454361
55	0.3878058685
56	0.3865281868
57	0.3853325405
58	0.3845869505
59	0.3840325166
60	0.3836310451
61	0.3830656898
62	0.3822502651
63	0.381528515
64	0.3809464656
65	0.3802702422
66	0.3796106194
67	0.3790275714
68	0.3781554177
69	0.3774548552
70	0.3766001758
71	0.3759033578
72	0.3753215579
73	0.3748078766
74	0.374447532
75	0.3739601869
76	0.3733361679
77	0.3729210914
78	0.3711348146
79	0.3702709611
80	0.3699399796
81	0.3692653789
82	0.3687697959
83	0.3681331081
84	0.3675885971
85	0.3670591265
86	0.3664759224
87	0.3660091408
88	0.3654787653
89	0.3648505026
90	0.3645219237
91	0.3639693309
92	0.3632420889
93	0.3628540039
94	0.3623587017
95	0.3606769585
96	0.360231302
97	0.3596303741
98	0.3590879226
99	0.358333377
100	0.3580440529
101	0.3574781671
102	0.3569986542
103	0.3565422947
104	0.3561646007
105	0.3558903794
106	0.3554430378
107	0.3551500004
108	0.3542519786
109	0.3531869838
110	0.3529513306
111	0.3522721429
112	0.3517943462
113	0.3513687851
114	0.3508317319
115	0.3503936268
116	0.3501077664
117	0.3499278749
118	0.3496328405
119	0.349373129
120	0.3489439483
121	0.3484418436
122	0.3479598656
123	0.3475974615
124	0.3472347455
125	0.3466400583
126	0.346143664
127	0.3456627469
128	0.3452497611
129	0.34476226
130	0.3444948099
131	0.3439638103
132	0.3436598827
133	0.3433894682
134	0.3430586739
135	0.3428309778
136	0.3425504532
137	0.3420960908
138	0.3417125616
139	0.3412355762
140	0.3409348938
141	0.3406587378
142	0.3401992267
143	0.3400969086
144	0.3397736657
145	0.3394482072
146	0.3391275542
147	0.3388376685
148	0.3381687781
149	0.3376369671
