iter	Passed	Remaining
0	2	335
1	4	327
2	6	319
3	8	312
4	10	314
5	13	321
6	15	315
7	17	314
8	20	319
9	22	316
10	25	319
11	27	317
12	30	318
13	32	316
14	35	316
15	37	314
16	39	311
17	42	310
18	44	308
19	47	306
20	49	306
21	52	304
22	54	302
23	57	301
24	60	300
25	62	298
26	65	297
27	67	295
28	70	295
29	73	293
30	75	291
31	78	290
32	81	287
33	83	285
34	86	284
35	89	282
36	92	281
37	94	278
38	97	276
39	99	273
40	102	272
41	104	269
42	107	267
43	109	264
44	112	263
45	115	261
46	118	259
47	121	258
48	124	257
49	127	255
50	130	252
51	133	251
52	136	249
53	139	247
54	142	246
55	145	244
56	148	242
57	150	239
58	154	237
59	156	235
60	159	232
61	162	230
62	165	228
63	167	225
64	170	222
65	173	220
66	175	217
67	178	215
68	181	212
69	184	210
70	186	207
71	189	205
72	191	202
73	194	199
74	197	197
75	199	194
76	202	191
77	205	189
78	208	187
79	210	184
80	212	181
81	215	178
82	218	176
83	221	173
84	223	171
85	226	168
86	229	165
87	231	163
88	234	160
89	237	158
90	239	155
91	242	152
92	245	150
93	247	147
94	250	144
95	252	142
96	255	139
97	258	136
98	260	134
99	263	131
100	266	129
101	268	126
102	270	123
103	273	120
104	276	118
105	278	115
106	281	113
107	283	110
108	286	107
109	289	105
110	291	102
111	294	99
112	297	97
113	299	94
114	302	92
115	304	89
116	307	86
117	310	84
118	312	81
119	315	78
120	318	76
121	321	73
122	323	71
123	326	68
124	329	65
125	332	63
126	335	60
127	338	58
128	340	55
129	342	52
130	345	50
131	348	47
132	350	44
133	353	42
134	355	39
135	358	36
136	361	34
137	363	31
138	366	29
139	369	26
140	372	23
141	375	21
142	378	18
143	380	15
144	383	13
145	386	10
146	388	7
147	391	5
148	394	2
149	396	0
